Japanese Role,Japanese Name,Role,Name
製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,丘美丈二郎,Original Work,Okami Jōjirō
脚本,木村武,Screenplay,Kimura Takeshi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
,安倍輝明,,Abe Teruaki
録音,伴利也,Recording,Ban Toshiya
照明,高島利雄,Lighting,Takashima Toshio
音楽,石井歓,Music,Ishii Kan
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kōji
編集,兼子玲子,Editing,Kaneko Reiko
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,幸隆生,Optical Photography,Miyuki Takao
,真野田幸雄,,Manoda Yukio
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirō
合成,向山宏,Composition,Mukōyama Hiroshi
製作担当者,成田貫,Production Manager,Narita Kan
,,,
出演者,,Performers,
,,,
,池部良,,Ikebe Ryō
,白川由美,,Shirakawa Yumi
,,,
,久保明,,Kubo Akira
,水野久美,,Mizuno Kumi
,太刀川寛,,Tachikawa Hiroshi
,,,
,平田昭彦,,Hirata Akihiko
,佐原健二,,Sahara Kenji
,田崎潤,,Tazaki Jun
,上原謙,,Uehara Ken
,志村喬,,Shimura Takashi
,,,
,河津清三郎,,Kawazu Seizaburō
,三島耕,,Mishima Kō
,堺左千夫,,Sakai Sachio
,佐々木孝丸,,Sasaki Takamaru
,西村晃,,Nishimura Kō
,小沢栄太郎,,Ozawa Eitarō
,,,
,二瓶正典,,Nihei Masanori
,野村浩三,,Nomura Kōzō
,佐多契子,,Sada Keiko
,天本英世,,Amamoto Hideyo
,ジョージ・ファーネス,,George Furness
,ロス・ベネット,,Ross Bennett
,向井淳一郎,,Mukai Jun’ichirō
,桐野洋雄,,Kirino Nadao
,坂下文夫,,Sakashita Fumio
,沢村いき雄,,Sawamura Ikio
,,,
,古田俊彦,,Furuta Toshihiko
,上村幸之,,Uemura Yoshiyuki
,緒方燐作,,Ogata Rinsaku
,佐藤功一,,Satō Kōichi
,河辺昌義,,Kawabe Masayoshi
,松原靖,,Matsubara Yasushi
,岡部正,,Okabe Tadashi
,宇野晃司,,Uno Kōji
,権藤幸彦,,Gondō Yukihiko
,丸山謙一郎,,Maruyama Ken’ichirō
,西條康彦,,Saijō Yasuhiko
,手塚勝巳,,Tezuka Katsumi
,,,
,山田彰,,Yamada Akira
,高木弘,,Takagi Hiroshi
,鈴木孝次,,Suzuki Kōji
,大前亘,,Ōmae Wataru
,庄司一郎,,Shōji Ichirō
,荒木保夫,,Araki Yasuo
,三井紳平,,Mitsui Shinpei
,今井和雄,,Imai Kazuo
,由起卓也,,Yuki Takuya
,石川浩二,,Ishikawa Kōji
,鈴木友輔,,Suzuki Yūsuke
,熊谷二良,,Kumagai Jirō
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirō
