Japanese Role,Japanese Name,Role,Name
企画,辻久一,Planning,Tsuji Hisakazu
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,猿若清方,Screenplay,Saruwaka Kiyokata
,杉浦久,,Sugiura Hisashi
,吉田哲郎,,Yoshida Tetsurō
,,,
撮影,森田富士郎,Photography,Morita Fujio
録音,海原幸夫,Recording,Kaibara Yukio
照明,黒川俊二,Lighting,Kurokawa Shunji
美術,内藤昭,Art,Naitō Akira
音楽,池野成,Music,Ikeno Sei
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
擬斗,宮内昌平,Action,Miyauchi Shōhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
助監督,辻光明,Assistant Director,Tsuji Mitsuaki
製作主任,村井昭彦,Production Manager,Murai Akihiko
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Vocals,Katsu Shintarō
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,三田佳子,,Mita Yoshiko
,佐藤允（東宝）,,Satō Makoto (Toho)
,,,
,西村晃,,Nishimura Kō
,藤岡琢也,,Fujioka Takuya
,ミヤコ蝶々,,Miyako Chōchō
,,,
,清水彰,,Shimizu Akira
,五味龍太郎,,Gomi Ryūtarō
,伊達岳志,,Date Takeshi
,戸浦六宏,,Toura Rokkō
,玉川良一,,Tamagawa Ryōichi
,曽我町子,,Soga Machiko
,大川修,,Ōkawa Osamu
,,,
,杉山昌三九,,Sugiyama Shōsaku
,木村元,,Kimura Gen
,水上保広,,Mizukami Yasuhiro
,諸口旭,,Moroguchi Asahi
,近江輝子,,Ōmi Teruko
,玉置一恵,,Tamaki Kazue
,堀北幸夫,,Horikita Yukio
,浜田雄史,,Hamada Yūji
,勝村淳,,Katsumura Jun
,薮内武司,,Yabuuchi Takeshi
,黒木現,,Kuroki Gen
,,,
,西岡弘善,,Nishioka Hiroyoshi
,松田剛武,,Matsuda Taketake
,藤春保,,Fuji Haruyasu
,暁新二郎,,Akatsuki Shinjirō
,和田哲児,,Wada Tetsuji
,千石泰三,,Sengoku Taizō
,丘夏子,,Oka Natsuko
,遠山順子,,Tōyama Junko
,織田利枝子,,Oda Rieko
,高寺正,,Takadera Masa
,長友宗之,,Nagatomo Muneyuki
,辻勝彦,,Tsuji Katsuhiko
,,,
監督,三隅研次,Director,Misumi Kenji
