Japanese Role,Japanese Name,Role,Name
製作,北猛夫,Producer,Kita Takeo
,,,
原案,別府啓,Story,Beppu Kei
脚本,日高繁明,Screenplay,Hidaka Shigeaki
,,,
美術,安倍輝明,Art,Abe Teruaki
録音,藤縄正一,Recording,Fujinawa Shōichi
照明,岸田九一郎,Lighting,Kishida Kuichirō
音楽,紙恭輔,Music,Kami Kyōsuke
,,,
監督助手,丸輝夫,Assistant Director,Maru Teruo
編集,庵原周一,Editing,Anbara Shūichi
特殊技術,東宝技術部,Special Technology,Toho Engineering Department
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,黒田達雄,Production Manager,Kuroda Tatsuo
,,,
出演者,,Performers,
,,,
,河津清三郎,,Kawazu Seizaburō
,三條美紀,,Sanjō Miki
,,,
,高田稔,,Takada Minoru
,土屋嘉男,,Tsuchiya Yoshio
,植村謙二郎,,Uemura Kenjirō
,藤原釜足,,Fujiwara Kamatari
,,,
,村上冬樹,,Murakami Fuyuki
,汐見洋,,Shiomi Yō
,沢村宗之助,,Sawamura Sōnosuke
,恩田清二郎,,Onda Seijirō
,大友伸,,Ōtomo Shin
,重山規子,,Shigeyama Noriko
,近藤圭子,,Kondō Keiko
,,,
,松尾文人,,Matsuo Fumindo
,中山豊,,Nakayama Yutaka
,吉田新,,Yoshida Shin
,峰三平,,Mine Sanpei
,鈴木治夫,,Suzuki Haruo
,高瀬将敏,,Takase Masatoshi
,水野匡雄,,Mizuno Tadao
,土屋博敏,,Tsuchiya Hirotoshi
,,,
,佐田豊,,Sada Yutaka
,中島春雄,,Nakajima Haruo
,瀬良明,,Sera Akira
,津田光男,,Tsuda Mitsuo
,吉頂寺晃,,Kitchōji Akira
,岡豊,,Oka Yutaka
,広瀬正一,,Hirose Shōichi
,堤康久,,Tsutsumi Yasuhisa
,,,
,熊谷二良,,Kumagai Jirō
,勝本圭一郎,,Katsumoto Keiichirō
,伊藤実,,Itō Minoru
,榊田敬二,,Sakakida Keiji
,森啓子,,Mori Keiko
,東静子,,Azuma Shizuko
振付,縣洋二,Choreography,Agata Yōji
,,,
撮影/特技指導,円谷英二,Photography/Special Effects Advisor,Tsuburaya Eiji
,,,
監督,小田基義,Director,Oda Motoyoshi
