Japanese Role,Japanese Name,Role,Name
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,新藤兼人,Screenplay,Shindō Kaneto
,,,
撮影,武田千吉郎,Photography,Takeda Senkichirō
録音,大谷巖,Recording,Ōtani Iwao
照明,山下礼二郎,Lighting,Yamashita Reijirō
美術,西岡善信,Art,Nishioka Yoshinobu
,,,
音楽,斎藤一郎,Music,Saitō Ichirō
編集,谷口登司夫,Editing,Taniguchi Toshio
擬斗,楠本栄一,Action,Kusumoto Eiichi
助監督,宮嶋八蔵,Assistant Director,Miyajima Hachikura
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,安田道代,,Yasuda Michiyo
,東野孝彦,,Tōno Takahiko
,,,
,山形勲,,Yamagata Isao
,五味龍太郎,,Gomi Ryūtarō
,千波丈太郎,,Senba Jōtarō
,井川比佐志,,Igawa Hisashi
,田中邦衛,,Tanaka Kunie
,三島雅夫,,Mishima Masao
,,,
,守田学,,Morita Gaku
,伊達三郎,,Date Saburō
,堀北幸夫,,Horikita Yukio
,杉山昌三九,,Sugiyama Shōsaku
,寺島雄作,,Terashima Yūsaku
,原聖四郎,,Hara Seishirō
,南条新太郎,,Nanjō Shintarō
,荒木忍,,Araki Shinobu
,,,
,勝村淳,,Katsumura Jun
,舟木洋一,,Funaki Yōichi
,沖時男,,Oki Tokio
,東良之助,,Azuma Ryōnosuke
,志賀明,,Shiga Akira
,徳田竹司,,Tokuda Takeshi
,園恵子,,Sono Keiko
,森下昌子,,Morishita Masako
,小林加奈枝,,Kobayashi Kanae
,,,
監督,池広一夫,Director,Ikehiro Kazuo
