Japanese Role,Japanese Name,Role,Name
製作,永田雅一,Producer,Nagata Masaichi
,,,
企画,奥田久司,Planning,Okuda Hisashi
脚本,吉田哲郎,Screenplay,Yoshida Tetsurō
,,,
撮影,今井ひろし,Photography,Imai Hiroshi
,森田富士郎,,Morita Fujio
録音,大谷厳,Recording,Ōtani Iwao
照明,伊藤貞一,Lighting,Itō Teiichi
,美間博,,Mima Hiroshi
美術,西岡善信,Art,Nishioka Yoshinobu
,加藤茂,,Katō Shigeru
音楽,伊福部昭,Music,Ifukube Akira
編集,谷口登司夫,Editing,Taniguchi Toshio
特撮合成,田中貞造,Special Effects Composition,Tanaka Teizō
作画,渡辺善夫,Drawing,Watanabe Yoshio
擬斗,楠本栄一,Action,Kusumoto Eiichi
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
助監督,大洲斉,Assistant Director,Ōzu Hitoshi
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,二宮秀樹,,Ninomiya Hideki
,飯塚真英,,Īzuka Masahide
,堀井晋次,,Horii Shinji
,長友宗之,,Nagatomo Muneyuki
,安部徹,,Abe Tōru
,仲村隆,,Nakamura Takashi
,名和宏,,Nawa Hiroshi
,北林谷栄,,Kitabayashi Tanie
,山下洵一郎,,Yamashita Jun’ichirō
,橋本力,,Hashimoto Riki
,守田学,,Morita Gaku
,玉置一恵,,Tamaki Kazue
,早川雄三,,Hayakawa Yūzō
,浜田雄史,,Hamada Yūji
,堀北幸夫,,Horikita Yukio
,石原須磨男,,Ishihara Sumao
,薮内武司,,Yabuuchi Takeshi
,南部彰三,,Nanbu Shōzō
,芝田総二,,Shibata Sōji
,伴勇太郎,,Ban Yūtarō
,森内一夫,,Moriuchi Kazuo
,上原寛二,,Uehara Kanji
,伊藤義高,,Itō Yoshitaka
,小南明,,Kominami Akira
,菊野昌代士,,Kikuno Masayoshi
,戸村昌子,,Tomura Masako
,,,
監督,森一生,Director,Mori Kazuo
特撮監督,黒田義之,Special Effects Director,Kuroda Yoshiyuki
