Japanese Role,Japanese Name,Role,Name
製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,馬淵薫,Screenplay,Mabuchi Kaoru
,本多猪四郎,,Honda Ishirō
,,,
撮影,完倉泰一,Photography,Kankura Taiichi
美術,北猛夫,Art,Kita Takeo
録音,吉沢昭一,Recording,Yoshizawa Shōichi
照明,平野清久,Lighting,Hirano Kiyohisa
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,谷清次,Assistant Director,Tani Seiji
編集,藤井良平,Editing,Fujii Ryōhei
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
,真野田陽一,,Manoda Yōichi
美術,井上泰幸,Art,Inoue Yasuyuki
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
照明,原文良,Lighting,Hara Fumiyoshi
合成,向山宏,Composition,Mukōyama Hiroshi
操演,中代文雄,Physical Effects,Nakadai Fumio
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
,,,
出演者,,Performers,
,,,
,久保明,,Kubo Akira
,小林夕岐子,,Kobayashi Yukiko
,愛京子,,Ai Kyōko
,,,
,田崎潤,,Tazaki Jun
,土屋嘉男,,Tsuchiya Yoshio
,佐原健二,,Sahara Kenji
,黒部進,,Kurobe Susumu
,伊藤久哉,,Itō Hisaya
,,,
,田島義文,,Tajima Yoshibumi
,桐野洋雄,,Kirino Nadao
,草川直也,,Kusakawa Naoya
,沢村いき雄,,Sawamura Ikio
,大前亘,,Ōmae Wataru
,鈴木和夫,,Suzuki Kazuo
,佐田豊,,Sada Yutaka
,,,
,当銀長太郎,,Tōgin Chōtarō
,西条康彦,,Saijō Yasuhiko
,久野征四郎,,Kuno Seishirō
,丸山謙一郎,,Maruyama Ken’ichirō
,伊吹徹,,Ibuki Tōru
,越後憲,,Echigo Ken
,伊藤実,,Itō Minoru
,渋谷英男,,Shibuya Hideo
,勝部義夫,,Katsube Yoshio
,坪野鎌之,,Tsubono Kamayuki
,,,
,岡部正,,Okabe Tadashi
,坂本晴哉,,Sakamoto Haruya
,緒方燐作,,Ogata Rinsaku
,権藤幸彦,,Gondō Yukihiko
,岡豊,,Oka Yutaka
,宮田芳子,,Miyata Yoshiko
,森今日子,,Mori Kyōko
,佐川亜梨,,Sagawa Ari
,宮内恵子,,Miyauchi Keiko
,高橋厚子,,Takahashi Atsuko
,,,
,中島春雄,,Nakajima Haruo
,関田裕,,Sekita Hiroshi
,新垣輝雄,,Aragaki Teruo
,内海進,,Utsumi Susumu
,小人のマーチャン,,Little Man Māchan
,池谷三郎,,Iketani Saburō
,ヘンリー大川,,Henry Ōkawa
,アンドリュウ・ヒューズ,,Andrew Hughes
,,,
特技監修,円谷英二,Special Effects Supervisor,Tsuburaya Eiji
特技監督,有川貞昌,Special Effects Director,Arikawa Sadamasa
,,,
監督,本多猪四郎,Director,Honda Ishirō
