Japanese Role,Japanese Name,Role,Name
製作,田中友幸,Producer,Tanaka Tomoyuki
,田中収,,Tanaka Osamu
,,,
,五島勉,,Gotō Ben
,『ノストラダムスの大予言』,,“Prophecies of Nostradamus”
構成・脚本,八住利雄,Organization / Screenplay,Yasumi Toshio
潤色,舛田利雄,Adaptation,Masuda Toshio
,坂野義光,,Banno Yoshimitsu
,,,
撮影,西垣六郎,Photography,Nishigaki Rokurō
,鷲尾馨,,Washio Kaoru
美術,村木与四郎,Art,Muraki Yoshirō
録音,増尾鼎,Recording,Masuo Kanae
照明,小島真二,Lighting,Kojima Shinji
音楽,富田勲,Music,Tomita Isao
,,,
協力監督,坂野義光,Cooperation Director,Banno Yoshimitsu
,,,
監督助手,岡田文亮,Assistant Director,Okada Fumiaki
編集,小川信夫,Editing,Ogawa Nobuo
スチール,石月美徳,Still Photography,Ishizuki Yoshinori
振付,川西清彦 ,Choreography,Kawanishi Kiyohiko
,（西野バレー団）,,(Nishino Ballet)
製作担当者,村上久之,Production Manager,Murakami Hisayuki
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
,山本武,,Yamamoto Takeshi
美術,井上泰幸,Art,Inoue Yasuyuki
照明,池田泰平,Lighting,Ikeda Taihei
スチール,田中一清,Still Photography,Tanaka Kazukiyo
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
合成,松田博,Composition,Matsuda Hiroshi
光学作画,石井義雄,Optical Drawing,Ishii Yoshio
操演,松本光司,Physical Effects,Matsumoto Kōji
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
監督助手,川北紘一,Assistant Director,Kawakita Kōichi
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
現像,東京現像所,Developing,Tokyo Laboratory
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
サントラ盤,東宝レコード,Soundtrack Label,Toho Records
,,,
特別スタッフ,,Special Staff,
異常気象,根本順吉,Abnormal Weather,Nemoto Junkichi
食生態学,西丸震哉,Food Ecology,Nishimaru Shin’ya
超科学現象,斉藤守弘,Parascientific Phenomenon,Saitō Morihiro
植物社会学,宮脇昭,Plant Sociology,Miyawaki Akira
作家,半村良,Writer,Hanmura Ryō
作家,石川喬,Writer,Ishikawa Takashi
,,,
,丹波哲郎,,Tamba Tetsurō
,,,
,由美かおる,,Yumi Kaoru
,黒沢年男,,Kurosawa Toshio
,,,
,志村喬,,Shimura Takashi
,平田昭彦,,Hirata Akihiko
,小泉博,,Koizumi Hiroshi
,谷村昌彦,,Tanimura Masahiko
,鈴木瑞穂,,Suzuki Mizuho
,内藤武敏,,Naitō Taketoshi
,,,
,佐々木勝彦,,Sasaki Katsuhiko
,竜崎勝,,Ryūzaki Masaru
,浜村純,,Hamamura Jun
,下川辰平,,Shimokawa Tappei
,加藤和夫,,Katō Kazuo
,渥美国泰,,Atsumi Kuniyasu
,北沢彪,,Kitazawa Hyō
,青木義朗,,Aoki Yoshirō
,,,
,稲野和子,,Inano Kazuko
,加藤小夜子,,Katō Sayoko
,音羽久米子,,Otowa Kumeko
,矢吹寿子 ,,Yabuki Toshiko
,中村たつ,,Nakamura Tatsu
,谷口香,,Taniguchi Kaori
,,,
,武藤章生,,Mutō Shōsei
,久野四郎,,Kuno Shirō
,平田未喜三,,Hirata Mikizō
,弘松三郎,,Hiromatsu Saburō
,雪丘恵介,,Yukioka Keisuke
,久遠利三,,Kudō Toshimitsu
,亀谷雅彦,,Kametani Masahiko
,原田君事,,Harada Kimiji
,小笠原剛,,Ogasawara Tsuyoshi
,大杉雄二,,Ōsugi Yūji
,鈴木治夫,,Suzuki Haruo
,青木敏夫,,Aoki Toshio
,苅谷俊介,,Kariya Shunsuke
,小坂生男,,Kosaka Ikuo
,富士乃幸夫,,Fujino Yukio
,加藤茂雄,,Katō Shigeo
,鳥居功靖,,Torii Isao
,中山剣吾,,Nakayama Kengo
,宇仁貫三,,Uni Kanzō
,,,
,東静子,,Azuma Shizuko
,林光子,,Hayashi Mitsuko
,記平佳枝,,Kihira Yoshie
,麻里とも恵,,Mari Tomoe
,吉田真野子,,Yoshida Manoko
,劇団ひまわり,,Himawari Theater Company
,劇団日本児童,,Japanese Children’s Theater Company
,,,
,納谷悟朗,,Naya Gorō
,市川治,,Ichikawa Osamu
,佐間功,,Sama Isao
,村越伊知郎,,Murakoshi Ichirō
,梶哲也,,Kaji Tetsuya
,,,
,ウイリー・ドーシー,,Willy Dorsey
,ロルフ・ジエッサー,,Ralph Jesser
,フランツ・グルーバー,,Franz Gruber
,ジョージ・フリン,,George Flynn
,トニー・セテラ,,Tony Setera
,ライナー・ゲッシュマン,,Rainer Gessman
,カール・マクムラン,,Carl McMullen
,オスマン・ユセフ,,Osman Yusuf
,,,
スタント,三石千尋,Stunts,Mitsuishi Chihiro
,マイクスタントマンチーム,,Maiku Stuntman Team
ナレーター,中江真二,Narrator,Nakae Shinji
予言の声,岸田今日子,Voice of Prophecy,Kishida Kyōko
,,,
,司葉子,,Tsukasa Yōko
,山村聡,,Yamamura Sō
,,,
特撮監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,舛田利雄,Director,Masuda Toshio
