Japanese Role,Japanese Name,Role,Name
製作,中島渉,Producer,Nakajima Wataru
製作補,島田昭彦,Assistant Producer,Shimada Akihiko
,,,
脚本,元持栄美,Screenplay,Motomichi Eibi
,石田守良,,Ishida Moriyoshi
,二本松嘉瑞,,Nihonmatsu Kazui
監修,光瀬龍,Supervisor,Mitsuse Ryū
,,,
撮影,平瀬静雄,Photography,Hirase Shizuo
,大越千虎,,Ōkoshi Chitora
美術,重田重盛,Art,Shigeta Shigemori
音楽,いずみたく,Music,Izumi Taku
,,,
照明,津吹正,Lighting,Tsubuki Masa
,高橋利文,,Takahashi Toshifumi
編集,杉原よし,Editing,Sugihara Yoshi
録音,中村寛,Recording,Nakamura Hiroshi
調音,松本隆司,Articulation,Matsumoto Ryūji
,,,
監督助手,白木慶二,Assistant Director,Shiraki Keiji
,伊藤茂,,Itō Shigeru
装置,太田正次郎,Apparatus,Ōta Shōjirō
光学技術,石川智弘,Optical Technology,Ishikawa Tomohiro
進行,福山正幸,Progression,Fukuyama Masayuki
,萩原辰雄,,Hagiwara Tatsuo
製作助手,武藤三郎,Production Assistant,Mutō Saburō
現像,東洋現像所,Developing,Toyo Laboratory
製作主任,内藤誠,Production Manager,Naitō Makoto
,,,
特撮監修,川上景司,Special Effects Supervisor,Kawakami Keiji
特撮美術,福田太郎,Special Effects Art,Fukuda Tarō
協力,日本特撮株式会社,Cooperation,"Nihon Tokusatsu Co., Ltd."
主題歌,キングレコード,Theme Song,King Records
"""ギララのロック""",,“Guilala’s Rock”,
"""月と星のバラード""",,“Ballad of the Moon and Stars”,
作詞,永六輔,Lyrics,Ei Rokusuke
作曲,いずみたく,Composition,Izumi Taku
唄,倍賞千恵子,Vocals,Baishō Chieko
,ボニー・ジャックス,,Bonnie Jacks
協賛,渡辺製菓,Sponsorship,Watanabe Confectionary
,,,
出演,,Appearing,
,,,
,和崎俊也,,Wazaki Shun’ya
,原田糸子,,Harada Itoko
,,,
,柳沢眞一,,Yanagisawa Shin’ichi
,園井啓介,,Sonoi Keisuke
,藤岡弘,,Fujioka Hiroshi
,岡田英次,,Okada Eiji
,,,
,ペギー・ニール,,Peggy Neal
,フランツ・グルーベル,,Franz Gruber
,マイク・ダニーン,,Mike Daneen
,,,
,北竜二,,Kita Ryūji
,穂積隆信,,Hozumi Takanobu
,渡辺紀行,,Watanabe Toshiyuki
,浜田寅彦,,Hamada Torahiko
,,,
,大屋満,,Ōya Mitsuru
,仲子大介,,Nakako Daisuke
,須藤照夫,,Sudō Teruo
,小田草之介,,Oda Sōnosuke
,加島潤,,Kashima Jun
,中田耕二,,Nakata Kōji
,キャッシー・ホーラン,,Kathy Horan
,,,
,川村禾門,,Kawamura Kamon
,小森英明,,Komori Hideaki
,山中淳,,Yamanaka Jun
,沖秀一,,Oki Shūichi
,園田健二,,Sonoda Kenji
,加登秀樹,,Katō Hideki
,川島輝満,,Kawashima Akimitsu
,比嘉照子,,Higa Teruko
,深山悦子,,Miyama Etsuko
,,,
監督,二本松嘉瑞,Director,Nihonmatsu Kazui
特撮監督,池田博,Special Effects Director,Ikeda Hiroshi
