Japanese Role,Japanese Name,Role,Name
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,笠原良三,Screenplay,Kasahara Ryōzō
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大谷厳,Recording,Ōtani Iwao
照明,山下礼二郎,Lighting,Yamashita Reijirō
美術,下石坂成典,Art,Shimoishizaka Shigenori
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
擬斗,宮内昌平,Action,Miyauchi Shōhei
助監督,友枝稔議,Assistant Director,Tomoeda Minoru
製作主任,西沢鋭治,Production Manager,Nishizawa Eiji
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Vocals,Katsu Shintarō
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,近衛十四郎,,Konoe Jūshirō
,高田美和,,Takada Miwa
,,,
,朝丘雪路,,Asaoka Yukiji
,坪内ミキ子,,Tsubouchi Mikiko
,中尾ミエ,,Nakao Mie
,,,
,伊藤孝雄,,Itō Takao
,小池朝雄,,Koike Asao
,磯村みどり,,Isomura Midori
,松村達雄,,Matsumura Tatsuo
,小沢栄太郎,,Ozawa Eitarō
,,,
,千波丈太郎,,Senba Jōtarō
,草薙幸二郎,,Kusanagi Kōjirō
,田武謙三,,Tabu Kenzō
,なべおさみ,,Nabe Osami
,戸田皓久,,Toda Akihisa
,藤山浩二,,Fujiyama Kōji
,水原浩一,,Mizuhara Kōichi
,毛利郁子,,Mōri Ikuko
,,,
,杉山昌三九,,Sugiyama Shōsaku
,寺島雄作,,Terashima Yūsaku
,南條新太郎,,Nanjō Shintarō
,伊東光一,,Itō Kōichi
,玉置一恵,,Tamaki Kazue
,堀北幸夫,,Horikita Yukio
,沖時男,,Oki Tokio
,斉藤信也,,Saitō Shin’ya
,小林加奈枝,,Kobayashi Kanae
,,,
,勝村淳,,Katsumura Jun
,上原寛二,,Uehara Kanji
,伊東義高,,Itō Yoshitaka
,森内一夫,,Moriuchi Kazuo
,山岡鋭二郎,,Yamaoka Eijirō
,西田弘善,,Nishida Hiroyoshi
,薮内武司,,Yabuuchi Takeshi
,園恵子,,Sono Keiko
,谷口和子,,Taniguchi Kazuko
,,,
監督,三隅研次,Director,Misumi Kenji
